tile_id,url,minx,miny,maxx,maxy
CRS3035RES50000mN2650000E4500000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2650000E4500000.tif,4499999.500000002,2649999.5,4550000.500000002,2700000.5
CRS3035RES50000mN2650000E4550000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2650000E4550000.tif,4549999.500000002,2649999.5,4600000.500000002,2700000.5
CRS3035RES50000mN2650000E4600000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2650000E4600000.tif,4599999.5,2649999.5,4650000.5,2700000.5
CRS3035RES50000mN2650000E4650000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2650000E4650000.tif,4649999.5,2649999.5,4700000.5,2700000.5
CRS3035RES50000mN2650000E4700000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2650000E4700000.tif,4699999.5,2649999.5,4750000.5,2700000.5
CRS3035RES50000mN2650000E4750000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2650000E4750000.tif,4749999.499999998,2649999.5,4800000.500000004,2700000.5
CRS3035RES50000mN2650000E4800000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2650000E4800000.tif,4799999.500000004,2649999.5,4850000.500000004,2700000.5
CRS3035RES50000mN2700000E4250000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4250000.tif,4249999.5,2699999.5,4300000.5,2750000.5
CRS3035RES50000mN2700000E4300000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4300000.tif,4299999.5,2699999.5,4350000.5,2750000.5
CRS3035RES50000mN2700000E4350000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4350000.tif,4349999.499999998,2699999.5,4400000.499999998,2750000.5
CRS3035RES50000mN2700000E4400000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4400000.tif,4399999.500000004,2699999.5,4450000.500000004,2750000.5
CRS3035RES50000mN2700000E4450000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4450000.tif,4449999.500000004,2699999.5,4500000.500000004,2750000.5
CRS3035RES50000mN2700000E4500000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4500000.tif,4499999.500000002,2699999.5,4550000.500000002,2750000.5
CRS3035RES50000mN2700000E4550000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4550000.tif,4549999.500000002,2699999.5,4600000.500000002,2750000.5
CRS3035RES50000mN2700000E4600000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4600000.tif,4599999.5,2699999.5,4650000.5,2750000.5
CRS3035RES50000mN2700000E4650000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4650000.tif,4649999.5,2699999.5,4700000.5,2750000.5
CRS3035RES50000mN2700000E4700000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4700000.tif,4699999.5,2699999.5,4750000.5,2750000.5
CRS3035RES50000mN2700000E4750000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4750000.tif,4749999.499999998,2699999.5,4800000.500000004,2750000.5
CRS3035RES50000mN2700000E4800000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2700000E4800000.tif,4799999.500000004,2699999.5,4850000.500000004,2750000.5
CRS3035RES50000mN2750000E4500000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4500000.tif,4499999.500000002,2749999.5,4550000.500000002,2800000.500000002
CRS3035RES50000mN2750000E4550000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4550000.tif,4549999.500000002,2749999.5,4600000.500000002,2800000.500000002
CRS3035RES50000mN2750000E4600000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4600000.tif,4599999.5,2749999.5,4650000.5,2800000.500000002
CRS3035RES50000mN2750000E4650000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4650000.tif,4649999.5,2749999.5,4700000.5,2800000.500000002
CRS3035RES50000mN2750000E4700000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4700000.tif,4699999.5,2749999.5,4750000.5,2800000.500000002
CRS3035RES50000mN2750000E4750000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4750000.tif,4749999.499999998,2749999.5,4800000.500000004,2800000.500000002
CRS3035RES50000mN2750000E4800000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4800000.tif,4799999.500000004,2749999.5,4850000.500000004,2800000.500000002
CRS3035RES50000mN2750000E4850000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2750000E4850000.tif,4849999.500000004,2749999.5,4900000.500000002,2800000.500000002
CRS3035RES50000mN2800000E4500000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2800000E4500000.tif,4499999.500000002,2799999.500000002,4550000.500000002,2850000.500000002
CRS3035RES50000mN2800000E4550000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2800000E4550000.tif,4549999.500000002,2799999.500000002,4600000.500000002,2850000.500000002
CRS3035RES50000mN2800000E4600000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2800000E4600000.tif,4599999.5,2799999.500000002,4650000.5,2850000.500000002
CRS3035RES50000mN2800000E4650000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2800000E4650000.tif,4649999.5,2799999.500000002,4700000.5,2850000.500000002
CRS3035RES50000mN2800000E4700000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2800000E4700000.tif,4699999.5,2799999.500000002,4750000.5,2850000.500000002
CRS3035RES50000mN2800000E4750000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2800000E4750000.tif,4749999.499999998,2799999.500000002,4800000.500000004,2850000.500000002
CRS3035RES50000mN2800000E4800000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2800000E4800000.tif,4799999.500000004,2799999.500000002,4850000.500000004,2850000.500000002
CRS3035RES50000mN2850000E4600000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2850000E4600000.tif,4599999.5,2849999.5,4650000.5,2900000.5
CRS3035RES50000mN2850000E4650000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2850000E4650000.tif,4649999.5,2849999.5,4700000.5,2900000.5
CRS3035RES50000mN2850000E4700000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2850000E4700000.tif,4699999.5,2849999.5,4750000.5,2900000.5
CRS3035RES50000mN2850000E4750000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2850000E4750000.tif,4749999.499999998,2849999.5,4800000.500000004,2900000.5
CRS3035RES50000mN2850000E4800000,https://data.bev.gv.at/download/ALS/DTM/20250915/ALS_DTM_CRS3035RES50000mN2850000E4800000.tif,4799999.500000004,2849999.5,4850000.500000004,2900000.5
